epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5137173533439636,0.0010000000474974513,0.7608679533004761,0.5142021775245667,0.49312323331832886,0.5457821488380432,0.686858057975769,0.533088207244873,0.7356475591659546
1,0.5369467735290527,0.0010000000474974513,0.7026320695877075,0.5355945229530334,0.5545466542243958,0.5690069198608398,0.6811051964759827,0.5489935278892517,0.7719626426696777
2,0.5362792611122131,0.0010000000474974513,0.6948118209838867,0.5342690944671631,0.5641607642173767,0.5754137635231018,0.6770104765892029,0.5616258978843689,0.6862483024597168
3,0.5425539016723633,0.0010000000474974513,0.6916121244430542,0.5386767387390137,0.5914007425308228,0.5826214551925659,0.6770219206809998,0.5646173357963562,0.7209612727165222
4,0.5517655611038208,0.0010000000474974513,0.6861790418624878,0.5455079674720764,0.6194418668746948,0.5676721930503845,0.6790295243263245,0.5474137663841248,0.7799732685089111
5,0.5584406852722168,0.0010000000474974513,0.6842923760414124,0.5547481775283813,0.5912671685218811,0.5782167911529541,0.6745603084564209,0.5607476830482483,0.7209612727165222
6,0.5617114901542664,0.0010000000474974513,0.682452380657196,0.558647871017456,0.5869942307472229,0.5831553936004639,0.6729211807250977,0.569019079208374,0.6846461892127991
7,0.5669848322868347,0.0010000000474974513,0.6817557215690613,0.5666223168373108,0.5689678192138672,0.5890282988548279,0.6714009046554565,0.5695779323577881,0.7279038429260254
8,0.5663840770721436,0.0010000000474974513,0.6799260377883911,0.5660854578018188,0.5678995847702026,0.6005071997642517,0.6684648990631104,0.6116389632225037,0.5500667691230774
9,0.5711901783943176,0.0010000000474974513,0.6782462000846863,0.5721251368522644,0.5640272498130798,0.5977042317390442,0.6686871647834778,0.6107240319252014,0.5383177399635315
10,0.5699886679649353,0.0010000000474974513,0.6788794994354248,0.5670723915100098,0.5910001397132874,0.5922316908836365,0.668989360332489,0.6007593274116516,0.5492656826972961
11,0.5741272568702698,0.0010000000474974513,0.6783923506736755,0.5715761184692383,0.5912671685218811,0.5954351425170898,0.668286919593811,0.6007336378097534,0.5684913396835327
12,0.5683866143226624,0.0010000000474974513,0.6804766654968262,0.5656864047050476,0.5881960391998291,0.602108895778656,0.6668984889984131,0.607545018196106,0.5762349963188171
13,0.5702556371688843,0.0010000000474974513,0.6787034273147583,0.569263219833374,0.5767124891281128,0.6045114994049072,0.6662735342979431,0.6281127333641052,0.511882483959198
14,0.5797343254089355,0.0010000000474974513,0.6761618256568909,0.5818356275558472,0.5662972331047058,0.6002402305603027,0.6647855639457703,0.6041088104248047,0.5810413956642151
15,0.5775315165519714,0.0010000000474974513,0.6748122572898865,0.5778314471244812,0.5749766230583191,0.6022424101829529,0.6627431511878967,0.6061026453971863,0.5834445953369141
16,0.5771310329437256,0.0010000000474974513,0.6761213541030884,0.5797181725502014,0.5602884292602539,0.5958355665206909,0.6643585562705994,0.6134134531021118,0.517756998538971
17,0.5710566639900208,0.0010000000474974513,0.6771406531333923,0.5758526921272278,0.538790225982666,0.6075814366340637,0.660263180732727,0.6077643632888794,0.6061415076255798
18,0.5775315165519714,0.0010000000474974513,0.6760395765304565,0.5761554837226868,0.5859259963035583,0.6045114994049072,0.6623938083648682,0.5984886884689331,0.6344459056854248
19,0.5797343254089355,0.0010000000474974513,0.6758520603179932,0.5808594226837158,0.5721725225448608,0.6011745929718018,0.6616301536560059,0.5966794490814209,0.6237649917602539
20,0.5791335701942444,0.0010000000474974513,0.6761462092399597,0.5827046632766724,0.5569502115249634,0.6039775609970093,0.6635973453521729,0.6103859543800354,0.5743657946586609
21,0.5796675682067871,0.0010000000474974513,0.6745677590370178,0.5825942158699036,0.5613566637039185,0.6073144674301147,0.6603258848190308,0.5991603136062622,0.6477970480918884
22,0.5811361074447632,0.0010000000474974513,0.6742647886276245,0.582027018070221,0.575110137462616,0.6049119234085083,0.6631057858467102,0.5976611375808716,0.6413885354995728
23,0.5787997841835022,0.0005000000237487257,0.6750125885009766,0.5797591805458069,0.5721725225448608,0.6115856766700745,0.6583720445632935,0.6091503500938416,0.6221628785133362
24,0.5836726427078247,0.0005000000237487257,0.6728196740150452,0.5870169401168823,0.563893735408783,0.6079818606376648,0.6583811044692993,0.5938661694526672,0.6825100183486938
25,0.587477445602417,0.0005000000237487257,0.6721951365470886,0.5896207094192505,0.5749766230583191,0.6046449542045593,0.6577664613723755,0.6117613315582275,0.5722296237945557
26,0.5821373462677002,0.0005000000237487257,0.6729364395141602,0.585335373878479,0.5628255009651184,0.6074479222297668,0.6575785875320435,0.6035548448562622,0.6256341934204102
27,0.5816033482551575,0.0005000000237487257,0.6739881038665771,0.583917498588562,0.5672319531440735,0.6126534938812256,0.6569929122924805,0.6129118800163269,0.6109479069709778
28,0.581536591053009,0.0005000000237487257,0.6732866764068604,0.5859881639480591,0.555080771446228,0.6078483462333679,0.6576199531555176,0.6116182804107666,0.5903871655464172
29,0.5826046466827393,0.0005000000237487257,0.6732991337776184,0.5883614420890808,0.5494725704193115,0.6154564619064331,0.6572044491767883,0.6263157725334167,0.5719625949859619
30,0.5877444744110107,0.0005000000237487257,0.6719185709953308,0.5949385166168213,0.5493390560150146,0.6069140434265137,0.6588730812072754,0.6113585829734802,0.5863818526268005
31,0.5862759351730347,0.0005000000237487257,0.6730642914772034,0.5915992856025696,0.5566831231117249,0.6093165874481201,0.6587002873420715,0.6091248393058777,0.6096128225326538
32,0.5842066407203674,0.0005000000237487257,0.6749537587165833,0.5864909291267395,0.5704366564750671,0.6109182834625244,0.6590571999549866,0.6025197505950928,0.6512683629989624
33,0.5904812812805176,0.0002500000118743628,0.6707753539085388,0.5925875306129456,0.5785819292068481,0.6090496778488159,0.6557037234306335,0.6111716628074646,0.5989319086074829
34,0.590548038482666,0.0002500000118743628,0.6708801984786987,0.5945041179656982,0.5691013336181641,0.6137213110923767,0.6544870138168335,0.6120031476020813,0.6208277940750122
35,0.589813768863678,0.0002500000118743628,0.671242892742157,0.5951302647590637,0.5613566637039185,0.6103844046592712,0.655376672744751,0.6115612983703613,0.6045393943786621
36,0.5868099331855774,0.0002500000118743628,0.6722131967544556,0.5909027457237244,0.5637601613998413,0.6135878562927246,0.6550297141075134,0.6158669590950012,0.6032042503356934
37,0.590815007686615,0.0002500000118743628,0.6708046197891235,0.5947566628456116,0.5695019364356995,0.6141217350959778,0.6533591151237488,0.6224197149276733,0.5797062516212463
38,0.5889459848403931,0.0002500000118743628,0.6710351705551147,0.594303548336029,0.5600213408470154,0.6149225831031799,0.6531604528427124,0.6091370582580566,0.6408544778823853
